Loading handle mappings...
  CMOTamilnadu: 9504 IDs
  mkstalin: 4663 IDs
  TRBRajaa: 20441 IDs

Processing batches 5 to 692 (688 batches)

Batch 5 (50 tweets)... 47 fetched, 3 404s, 0 errors

Batch 6 (50 tweets)... 47 fetched, 6 404s, 0 errors

Batch 7 (50 tweets)... 45 fetched, 11 404s, 0 errors

Batch 8 (50 tweets)... 49 fetched, 12 404s, 0 errors

Batch 9 (50 tweets)... 43 fetched, 19 404s, 0 errors

Batch 10 (50 tweets)... 48 fetched, 21 404s, 0 errors

Batch 11 (50 tweets)... 50 fetched, 21 404s, 0 errors

Batch 12 (50 tweets)... 47 fetched, 24 404s, 0 errors

Batch 13 (50 tweets)... 47 fetched, 27 404s, 0 errors

Batch 14 (50 tweets)... 48 fetched, 29 404s, 0 errors
  [Saved progress: 471 tweets]

Batch 15 (50 tweets)... 46 fetched, 33 404s, 0 errors

Batch 16 (50 tweets)... 46 fetched, 37 404s, 0 errors

Batch 17 (50 tweets)... 50 fetched, 37 404s, 0 errors

Batch 18 (50 tweets)... 47 fetched, 40 404s, 0 errors

Batch 19 (50 tweets)... 50 fetched, 40 404s, 0 errors

Batch 20 (50 tweets)... 47 fetched, 42 404s, 1 errors

Batch 21 (50 tweets)... 49 fetched, 43 404s, 1 errors

Batch 22 (50 tweets)... 48 fetched, 45 404s, 1 errors

Batch 23 (50 tweets)... 47 fetched, 48 404s, 1 errors

Batch 24 (50 tweets)... 45 fetched, 53 404s, 1 errors
  [Saved progress: 946 tweets]

Batch 25 (50 tweets)... 48 fetched, 55 404s, 1 errors

Batch 26 (50 tweets)... 45 fetched, 60 404s, 1 errors

Batch 27 (50 tweets)... 48 fetched, 62 404s, 1 errors

Batch 28 (50 tweets)... 49 fetched, 63 404s, 1 errors

Batch 29 (50 tweets)... 49 fetched, 64 404s, 1 errors

Batch 30 (50 tweets)... 47 fetched, 67 404s, 1 errors

Batch 31 (50 tweets)... 46 fetched, 71 404s, 1 errors

Batch 32 (50 tweets)... 49 fetched, 72 404s, 1 errors

Batch 33 (50 tweets)... 50 fetched, 72 404s, 1 errors

Batch 34 (50 tweets)... 47 fetched, 75 404s, 1 errors
  [Saved progress: 1424 tweets]

Batch 35 (50 tweets)... 44 fetched, 81 404s, 1 errors

Batch 36 (50 tweets)... 49 fetched, 82 404s, 1 errors

Batch 37 (50 tweets)... 49 fetched, 83 404s, 1 errors

Batch 38 (50 tweets)... 46 fetched, 87 404s, 1 errors

